Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
15/7/18 0:11:13,0,0,0,4,3,0,1,0,0,0,0,0,0,1,0,0,0,66,0,0,1.013,3.700,9,7.800,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:11:24,0,0,0,1,4,2,1,1,1,0,0,0,0,0,0,0,0,38,63,161,1.013,3.700,10,23.239,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:11:36,0,0,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,17,91,0,1.013,3.700,9,9.596,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:11:47,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,151,56,0,1.013,3.700,7,5.770,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:11:58,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,104,0,100,1.013,3.700,4,7.877,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:12:10,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1.014,3.700,4,2.452,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:12:21,0,0,0,3,4,2,1,0,0,0,0,0,0,0,0,0,0,100,74,0,1.013,3.700,10,9.663,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:12:32,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,80,75,0,1.014,3.700,7,12.050,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:12:44,0,0,0,2,5,1,0,2,1,0,1,0,0,0,0,0,0,38,23,74,1.014,3.700,12,32.765,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:12:55,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,38,50,0,1.013,3.700,7,7.902,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:13:7,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,65,60,59,1.013,3.700,3,7.809,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:13:19,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,13,56,0,1.013,3.700,9,8.396,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:13:30,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,0,0,54,42,0,1.013,3.700,11,10.042,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:13:41,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,1.014,3.700,3,1.761,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:13:53,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,68,1.013,3.700,3,9.943,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:14:4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.013,3.700,3,4.517,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
